university_name,country,tier,typical_cgpa_requirement,known_for_fields,key_notes
Imperial College London,United Kingdom,ambitious,8.5,"Data Science and AI; Software Engineering","Highly competitive; strong AI and engineering ecosystem"
University of Manchester,United Kingdom,moderate,7.5,"Data Science and AI; Business Analytics; Software Engineering","Strong industry connections and broad computing programs"
University of Hertfordshire,United Kingdom,safe,6.5,"Software Engineering; Cybersecurity; Business Analytics","Practical programs and accessible entry profile"
Technical University of Munich,Germany,ambitious,8.5,"Data Science and AI; Software Engineering; Cybersecurity","Excellent technical reputation; competitive admissions"
University of Passau,Germany,moderate,7.2,"Computer Science; AI; Business Analytics","Good technical programs with lower cost profile"
SRH Berlin University of Applied Sciences,Germany,safe,6.5,"Data Science and AI; Business Analytics","Applied focus; private tuition but flexible admissions"
University of Toronto,Canada,ambitious,8.7,"Data Science and AI; Software Engineering; Finance Analytics","Top-tier research and strong employer brand"
Simon Fraser University,Canada,moderate,7.5,"Software Engineering; Cybersecurity; Data Science and AI","Balanced admissions profile and tech-market access"
Concordia University,Canada,safe,6.8,"Software Engineering; Business Analytics; Cybersecurity","Good practical programs and urban location"

